Date,Open,High,Low,Close,Volume
11/01/2023,"5.6810","6.0000","5.3010","5.5330","2,359,475"
10/31/2023,"5.2890","5.8180","5.1160","5.6520","2,542,469"
10/30/2023,"5.2980","5.3550","5.1160","5.1750","2,043,621"
10/27/2023,"5.2600","5.3000","5.0000","5.0670","2,419,729"
10/26/2023,"5.4000","5.6400","5.0000","5.1820","2,392,760"
10/25/2023,"6.1160","6.2100","5.2260","5.3650","3,619,530"
10/24/2023,"5.1930","6.4210","5.1460","6.2230","5,173,687"
10/23/2023,"5.0000","5.2820","4.7500","5.0710","2,330,883"
10/20/2023,"5.2900","5.4400","5.0520","5.1240","1,965,992"
10/19/2023,"5.9100","5.9270","5.3120","5.3850","2,844,534"
10/18/2023,"6.8630","6.8810","5.9000","5.9590","3,336,226"
10/17/2023,"7.0330","7.1250","6.7000","6.9320","2,253,686"
10/16/2023,"7.0400","7.3680","6.8000","7.0000","1,868,239"
10/13/2023,"6.8500","7.0790","6.7090","7.0000","1,608,708"
10/12/2023,"6.9740","7.1200","6.5610","6.7790","1,667,974"
10/11/2023,"7.5080","7.6190","6.8110","6.9340","2,307,082"
10/10/2023,"7.1710","7.8900","7.0130","7.2930","4,073,375"
10/09/2023,"6.8000","6.9940","6.2510","6.8520","2,602,271"
10/06/2023,"6.9470","7.4490","6.9200","7.0480","2,412,580"
10/05/2023,"7.6890","8.0000","6.9000","7.0870","4,423,563"
10/04/2023,"7.1000","7.8570","6.6520","7.5280","4,559,964"
10/03/2023,"7.1690","7.3030","6.6370","6.8320","3,608,276"
10/02/2023,"7.8000","8.1000","7.1620","7.3700","3,379,627"
09/29/2023,"8.1990","8.4500","7.7000","7.8280","3,040,036"
09/28/2023,"8.8010","8.8650","7.7000","8.1360","8,539,348"
09/27/2023,"10.1000","10.5000","8.2610","8.9000","10,774,080"
09/26/2023,"9.7620","10.7000","8.7300","9.2220","8,485,012"
09/25/2023,"8.5060","10.3000","8.2390","9.4290","11,665,620"
09/22/2023,"8.0720","8.6880","7.6010","8.3990","7,263,290"
09/21/2023,"8.5000","9.0500","7.6100","7.6720","6,547,761"
09/20/2023,"10.6000","11.4000","8.6550","8.7200","8,527,449"
09/19/2023,"11.7000","12.6000","9.9270","10.3000","4,685,821"
09/18/2023,"11.7500","12.3000","11.0000","11.4000","6,872,783"
09/15/2023,"14.6000","15.6820","12.8000","13.5000","11,976,260"
09/14/2023,"11.2000","14.8000","11.1000","12.5000","11,807,640"
09/13/2023,"12.9000","14.0000","10.4000","11.6000","13,132,759"
09/12/2023,"15.0000","19.2000","13.1000","13.4000","19,864,861"
09/11/2023,"10.3000","17.9000","10.2000","16.9000","27,872,569"
09/08/2023,"7.5050","9.5900","7.3600","9.3180","12,282,340"
09/07/2023,"7.6000","7.8000","6.6220","7.6000","6,651,592"
09/06/2023,"7.6460","8.3000","6.8560","8.0190","12,652,049"
